Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude,Agency Description,Color Description,Body Style Description
4559998424,01/10/2023,941,,0000,CA,202205,,HOND,PA,BK,900 KENMORE AV S,,54,80.56E4+,RED ZONE,93,6471735.193913,1854544.30851,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4561179464,01/10/2023,934,,0000,CA,202306,,CHEV,PA,BK,894 SUMMERLAND AVE,,55,80.56E4+,RED ZONE,93,6471492.32461,1730669.864458,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4558093341,01/10/2023,923,,0000,CA,202309,,NISS,PA,BK,3551 JAMES M WOOD BLVD W,,54,80.56E4+,RED ZONE,93,6468174.394126,1842849.986043,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4560646182,01/10/2023,943,,0000,CA,202303,,LEXS,PA,BL,801 70TH ST W,,55,80.56E4+,RED ZONE,93,6473972.10179,1813907.772147,55 - DOT - SOUTHERN,BLUE,PASSENGER CAR
4561101694,01/10/2023,104,,0000,CA,202209,,MERZ,PA,BK,1500 5TH ST W,,56,80.56E4+,RED ZONE,93,6491207.029265,1857771.017942,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4561101683,01/10/2023,103,,0000,CA,202304,,NISS,PA,SL,1500 5TH ST W,,56,80.56E4+,RED ZONE,93,6491207.029265,1857771.017942,56 - DOT - CENTRAL,SILVER,PASSENGER CAR
4561101672,01/10/2023,100,,0000,CA,202206,,JAGU,PA,GY,500 UNION DR,,56,80.56E4+,RED ZONE,93,6480455.90368,1843621.463694,56 - DOT - CENTRAL,GREY,PASSENGER CAR
4560678113,01/10/2023,1007,,0000,CA,202310,,NISS,PA,GY,7834 SEPULVEDA BLVD,360R1,53,80.56E4+,RED ZONE,93,6420719.634636,1900203.442112,53 - DOT - VALLEY,GREY,PASSENGER CAR
4561147581,01/10/2023,1012,,0000,CA,202301,,TOYT,PA,BK,5611 HOOVER ST S,,55,80.56E4+,RED ZONE,93,6474636.916676,1819357.224394,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4561135714,01/10/2023,958,,0000,CA,202305,,FORD,PA,WT,1101 SANTA FE AVE S,,56,80.56E4+,RED ZONE,93,6491987.076147,1833594.17044,56 - DOT - CENTRAL,WHITE,PASSENGER CAR
4561095641,01/10/2023,1016,,0000,PA,202304,,JEEP,PA,SL,200 KENMORE AV S,489R2,54,80.56E4+,RED ZONE,93,6471843.714348,1848429.393728,54 - DOT - HOLLYWOOD,SILVER,PASSENGER CAR
4561111063,01/10/2023,923,,0000,CA,202312,,TOYT,PA,BK,1503 HOBART BLVD S,,55,80.56E4+,RED ZONE,93,6469183.464343,1839023.993946,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560820795,01/10/2023,956,,0000,CA,202304,,NISS,PA,SL,6500 HOOVER ST S,,55,80.56E4+,RED ZONE,93,6474640.476903,1815446.340793,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4560405986,01/10/2023,933,,0000,CA,202307,,FORD,PA,BK,2000 36TH PL W,,55,80.56E4+,RED ZONE,93,6466041.816585,1830489.000469,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4559256645,01/10/2023,948,,0000,CA,202305,,TOYT,PA,BK,1500 MORTON AVE,,56,80.56E4+,RED ZONE,93,6484475.164694,1851816.320327,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4560567211,01/10/2023,934,,0000,CA,202302,,HOND,PA,GY,500 GULF AVE,,55,80.56E4+,RED ZONE,93,6478849.515182,1740632.095952,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4561095571,01/10/2023,927,,0000,CA,202309,,CHEV,VN,WT,3095 SAN MARINO ST,489R2,54,80.56E4+,RED ZONE,93,6471635.245072,1842349.073319,54 - DOT - HOLLYWOOD,WHITE,VAN
4559256623,01/10/2023,942,,0000,CA,0,,HOND,PA,BK,1700 MONTANA ST,,56,80.56E4+,RED ZONE,93,6483633.686386,1851001.828916,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4560379261,01/10/2023,952,,0000,CA,202311,,TOYT,PA,BK,12072 SHELDON ST,,53,80.56E4+,RED ZONE,93,6442104.010857,1909204.619026,53 - DOT - VALLEY,BLACK,PASSENGER CAR
4561099491,01/10/2023,945,,0000,CA,202207,,DODG,PA,GY,6810 FOOTHILL BLVD,,53,80.56E4+,RED ZONE,93,6477148.078177,1912620.014251,53 - DOT - VALLEY,GREY,PASSENGER CAR
4560331053,01/10/2023,939,,0000,CA,202307,,FORD,PA,BK,3000 JAMES M WOOD BLVD W,,54,80.56E4+,RED ZONE,93,99999,99999,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4559256634,01/10/2023,946,,0000,CA,202306,,TOYT,PA,WT,1500 MORTON AVE,,56,80.56E4+,RED ZONE,93,6484475.164694,1851816.320327,56 - DOT - CENTRAL,WHITE,PASSENGER CAR
4561179486,01/10/2023,953,,0000,CA,202301,,TOYT,PA,GY,1321 9TH ST W,,55,80.56E4+,RED ZONE,93,6468620.19988,1726483.166378,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4561017171,01/10/2023,1010,,0000,CA,202305,,VOLK,PA,BK,15400 ANTIOCH ST,,51,80.56E4+,RED ZONE,93,6401990.540783,1839958.184458,51 - DOT - WESTERN,BLACK,PASSENGER CAR
4560303086,01/10/2023,1006,,0000,CA,202311,,TOYT,PA,SL,901 MAPLE AVE S,,56,80.56E4+,RED ZONE,93,6485106.12894,1836844.128856,56 - DOT - CENTRAL,SILVER,PASSENGER CAR
4561035286,01/10/2023,955,,0000,CA,202311,,CHEV,PA,YE,300 89TH ST W,,55,80.56E4+,RED ZONE,93,6477299.38809,1806495.461838,55 - DOT - SOUTHERN,YELLOW,PASSENGER CAR
4561147592,01/10/2023,1015,,0000,CA,202211,,FORD,PA,GN,724 57TH ST W,,55,80.56E4+,RED ZONE,93,6474970.786342,1819062.954501,55 - DOT - SOUTHERN,GREEN,PASSENGER CAR
4561135681,01/10/2023,940,,0000,CA,202301,,GMC,VN,OR,582 MATEO ST,,56,80.56E4+,RED ZONE,93,6491148.18784,1836578.97845,56 - DOT - CENTRAL,ORANGE,VAN
4559256612,01/10/2023,924,,0000,CA,0,,DODG,CM,WT,1700 MONTANA ST,,56,80.56E4+,RED ZONE,93,6483633.686386,1851001.828916,56 - DOT - CENTRAL,WHITE,COMMERCIAL
4561095652,01/10/2023,1017,,0000,CA,202303,,TOYT,PA,RD,200 KENMORE AV S,489R2,54,80.56E4+,RED ZONE,93,6471843.714348,1848429.393728,54 - DOT - HOLLYWOOD,RED,PASSENGER CAR
4561135703,01/10/2023,950,,0000,CA,202303,,TSMR,PA,BK,1029 SANTA FE AVE S,,56,80.56E4+,RED ZONE,93,6491983.961248,1833954.095519,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4561190454,01/10/2023,924,,0000,CA,202302,,HYUN,PA,BK,800 BUNKER HILL AVE N,,56,80.56E4+,RED ZONE,93,6488302.412948,1845922.265012,56 - DOT - CENTRAL,BLACK,PASSENGER CAR
4560747435,01/10/2023,1006,,0000,CA,202308,,KIA,PA,GY,1500 FRIGATE AVE,,55,80.56E4+,RED ZONE,93,6477315.714434,1746892.685837,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4560747446,01/10/2023,1013,,0000,CA,202303,,CHEV,PU,WT,1118 R ST W,,55,80.56E4+,RED ZONE,93,6477655.49038,1748563.337866,55 - DOT - SOUTHERN,WHITE,PICK-UP TRUCK
4560256562,01/10/2023,1008,,0000,CA,202305,,CHEV,PU,WT,701 TOWNE AVE S,,56,80.56E4+,RED ZONE,93,6487397.177487,1836873.027256,56 - DOT - CENTRAL,WHITE,PICK-UP TRUCK
4560567233,01/10/2023,947,,0000,CA,202208,,MERZ,PA,BK,1401 MARINE AVE N,,55,80.56E4+,RED ZONE,93,6481264.193847,1746452.941079,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4561111041,01/10/2023,920,,0000,CA,202207,,HOND,PA,GY,2801 15TH ST W,,55,80.56E4+,RED ZONE,93,6469529.772543,1839052.603637,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4561081910,01/10/2023,2013,,0000,CA,202306,,JEEP,PA,WT,2000 39TH ST W,,55,80.56E4+,RED ZONE,93,6465574.086062,1827843.304344,55 - DOT - SOUTHERN,WHITE,PASSENGER CAR
4561118925,01/10/2023,1953,,0000,CA,202310,,HOND,PA,BL,1668 227TH ST,,55,80.56E4+,RED ZONE,93,6468078.650229,1757087.528941,55 - DOT - SOUTHERN,BLUE,PASSENGER CAR
4561081932,01/10/2023,2017,,0000,CA,202306,,HOND,PA,WT,1900 38TH PL W,,55,80.56E4+,RED ZONE,93,6465882.904518,1828521.046436,55 - DOT - SOUTHERN,WHITE,PASSENGER CAR
4561081873,01/10/2023,2007,,0000,CA,0,,MERZ,PA,SL,1954 39TH ST W,,55,80.56E4+,RED ZONE,93,6465759.879962,1827860.869999,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4561081906,01/10/2023,2011,,0000,CA,1,,CHEV,PA,BL,3800 VAN NESS AV S,,55,80.56E4+,RED ZONE,93,6465576.173924,1828793.449739,55 - DOT - SOUTHERN,BLUE,PASSENGER CAR
4561050115,01/10/2023,1948,,0000,CA,202307,,NISS,PA,GY,5222 ASCOT AVE,,55,80.56E4+,RED ZONE,93,6485816.20865,1820852.153912,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4560880984,01/10/2023,1933,,0000,CA,202305,,MAZD,PA,GY,201 CENTRAL AVE S,,56,80.56E4+,RED ZONE,93,6489178.641318,1839827.410006,56 - DOT - CENTRAL,GREY,PASSENGER CAR
4561081895,01/10/2023,2009,,0000,CA,202305,,INFI,PA,GY,1949 39TH ST W,,55,80.56E4+,RED ZONE,93,6465728.340091,1827861.05197,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4561050126,01/10/2023,1950,,0000,CA,202310,,LEXS,PA,GY,1401 53RD ST E,,55,80.56E4+,RED ZONE,93,6470675.477085,1820385.432363,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4560910911,01/10/2023,1922,,0000,CA,202212,,BMW,PA,WT,6798 SUNSET BLVD,0401A,54,80.56E4+,RED ZONE,93,6459139.297724,1858209.151312,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4561081884,01/10/2023,2008,,0000,CA,0,,NISS,PA,SL,1949 39TH ST W,,55,80.56E4+,RED ZONE,93,6465728.340091,1827861.05197,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4561050104,01/10/2023,1946,,0000,CA,202311,,CHEV,PA,BK,5221 ASCOT AVE,,55,80.56E4+,RED ZONE,93,6485816.219243,1820858.890173,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560697142,01/10/2023,525,,0000,CA,202308,,TOYT,PA,GY,7200 OSO AVE,,53,80.56E4+,RED ZONE,93,6387694.423225,1896007.019004,53 - DOT - VALLEY,GREY,PASSENGER CAR
4560865201,01/10/2023,555,,0000,CA,202302,,LEXS,PA,GY,1750 EDGEMONT ST N,0401A,54,80.56E4+,RED ZONE,93,6472011.458967,1859883.084375,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4560865190,01/10/2023,553,,0000,CA,202303,,MITS,PA,GY,1750 EDGEMONT ST N,0401A,54,80.56E4+,RED ZONE,93,6472011.458967,1859883.084375,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4561179490,01/10/2023,957,,0000,CA,202302,,FORD,PA,GY,1425 9TH ST W,,55,80.56E4+,RED ZONE,93,6467798.750879,1726489.013443,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4560499031,01/10/2023,952,,0000,CA,202205,,HOND,VN,GY,1644 CROWN HILL AVE,,56,80.56E4+,RED ZONE,93,6481296.749376,1844890.043074,56 - DOT - CENTRAL,GREY,VAN
4560303090,01/10/2023,1011,,0000,CA,202311,,FRHT,TK,BN,936 MAPLE AVE S,,56,80.56E4+,RED ZONE,93,6484961.838139,1836689.284,56 - DOT - CENTRAL,BROWN,TRUCK
4560547600,01/10/2023,958,,0000,CA,202208,,TOYT,PA,SL,590 VERMONT AV N,,54,80.56E4+,RED ZONE,93,,,54 - DOT - HOLLYWOOD,SILVER,PASSENGER CAR
4560499020,01/10/2023,948,,0000,CA,202300,,HOND,PA,WT,1601 CROWN HILL AVE,,56,80.56E4+,RED ZONE,93,6481476.020078,1844532.200017,56 - DOT - CENTRAL,WHITE,PASSENGER CAR
4561111052,01/10/2023,921,,0000,CA,202301,,HOND,PA,BL,2802 15TH ST W,,55,80.56E4+,RED ZONE,93,,,55 - DOT - SOUTHERN,BLUE,PASSENGER CAR
4561035290,01/10/2023,959,,0000,CA,202308,,HYUN,PA,BK,8855 BROADWAY  S,,55,80.56E4+,RED ZONE,93,6477299.220851,1806719.639209,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560966056,01/10/2023,833,,0000,CA,202303,,TOYT,PA,WT,3400 SAN MARINO ST,,54,80.56E4+,RED ZONE,93,6468806.991876,1842340.6451,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4561172490,01/10/2023,854,,0000,CA,202311,,HOND,PA,GY,7919 HOOVER ST,,55,80.56E4+,RED ZONE,93,6474613.699839,1810722.255337,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4559965583,01/10/2023,833,,0000,CA,202307,,NISS,PA,BK,5544 LEXINGTON AVE,,54,80.56E4+,RED ZONE,93,6467739.082272,1856292.1564,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4561112500,01/10/2023,848,,0000,CA,202301,,VOLK,PA,GY,100 68TH ST E,,55,80.56E4+,RED ZONE,93,6478616.580781,1814442.829119,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4558093326,01/10/2023,854,,0000,CA,202305,,TOYT,PA,GY,4301 1ST ST W,,54,80.56E4+,RED ZONE,93,6469149.368249,1849347.628957,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4559965550,01/10/2023,827,,0000,CA,202210,,TOYT,PA,SL,5500 LA MIRADA AVE,,54,80.56E4+,RED ZONE,93,6467730.114025,1856652.225698,54 - DOT - HOLLYWOOD,SILVER,PASSENGER CAR
4560437302,01/10/2023,1046,,0000,CA,202210,,TOYT,PA,SL,5100 DENKER AVE,,55,80.56E4+,RED ZONE,93,6469352.348976,1821388.379209,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4561102781,01/10/2023,1037,,0000,CA,202304,,TOYT,PA,RD,1864 FULLER AV N,,54,80.56E4+,RED ZONE,93,6456075.799286,1861915.696258,54 - DOT - HOLLYWOOD,RED,PASSENGER CAR
4561147662,01/10/2023,1116,,0000,CA,202305,,HOND,PA,GY,1715 37TH ST W,,55,80.56E4+,RED ZONE,93,6467934.709687,1830191.044455,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4560553513,01/10/2023,1048,,0000,CA,202308,,TOYT,PA,SL,6500 FRANKLIN AVE W,,54,80.56E4+,RED ZONE,93,6461170.803245,1860847.698811,54 - DOT - HOLLYWOOD,SILVER,PASSENGER CAR
4561063743,01/10/2023,1033,,0000,CA,202201,,HYUN,PA,GY,101 CATALINA ST S,,54,80.56E4+,RED ZONE,93,6472200.257042,1848976.772034,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4561009913,01/10/2023,1102,,0000,CA,202307,,NISS,PU,BK,8400 SAN PEDRO ST S,,55,80.56E4+,RED ZONE,93,6479944.083934,1808965.479364,55 - DOT - SOUTHERN,BLACK,PICK-UP TRUCK
4560915074,01/10/2023,1021,,0000,CA,202302,,HOND,PA,RD,5329 CAHUENGA BL,,53,80.56E4+,RED ZONE,93,6452302.363158,1883629.532952,53 - DOT - VALLEY,RED,PASSENGER CAR
4560850512,01/10/2023,1058,,0000,CA,202207,,MERZ,PA,GY,662 STANFORD AVE S,,56,80.56E4+,RED ZONE,93,6487803.147575,1836906.665161,56 - DOT - CENTRAL,GREY,PASSENGER CAR
4560945760,01/10/2023,1106,,0000,CA,202303,,TOYT,PA,RD,11915 BELHAVEN ST S,,55,80.56E4+,RED ZONE,93,6484124.825861,1794865.68592,55 - DOT - SOUTHERN,RED,PASSENGER CAR
4560764106,01/10/2023,1053,,0000,CA,202307,,HOND,PA,BK,723 40TH PL W,,55,80.56E4+,RED ZONE,93,6475693.527937,1826344.769598,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4560695532,01/10/2023,1053,,0000,CA,0,,OTHR,PA,WT,4000 MARATHON ST,,54,80.56E4+,RED ZONE,93,6474813.37659,1853299.494753,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4560182233,01/10/2023,1032,,0000,CA,202304,,HOND,PA,GY,19404 HAYNES ST,330R1,53,80.56E4+,RED ZONE,93,6393301.479937,1891623.984548,53 - DOT - VALLEY,GREY,PASSENGER CAR
4560137072,01/10/2023,1019,,0000,CA,202307,,HOND,PA,BK,801 POINSETTIA PL N,,54,80.56E4+,RED ZONE,93,6456096.450946,1853605.763952,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4560646204,01/10/2023,1037,,0000,CA,202211,,DODG,PA,SL,6001 HARVARD BL S,,55,80.56E4+,RED ZONE,93,6468670.261816,1817388.762429,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4560567185,01/10/2023,824,,0000,CA,202301,,HOND,PA,GY,906 BAY VIEW AVE,,55,80.56E4+,RED ZONE,93,6479611.158561,1742850.437471,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4561156541,01/10/2023,904,,0000,CA,2,,BMW,PA,WT,1016 COLE AVE,,54,80.56E4+,RED ZONE,93,6461786.039349,1855014.288879,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4560920744,01/10/2023,832,,0000,CA,0,,HOND,PA,GY,11700 KIOWA AVE,,51,80.56E4+,RED ZONE,93,6421549.467869,1841275.740862,51 - DOT - WESTERN,GREY,PASSENGER CAR
4561156515,01/10/2023,819,,0000,CA,202205,,JEEP,PA,GY,553 ROSSMORE AVE N,,54,80.56E4+,RED ZONE,93,6462495.448312,1846035.005603,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4559511751,01/10/2023,838,,0000,CA,202304,,HOND,PA,BK,1402 49TH ST E,,55,80.56E4+,RED ZONE,93,6470655.31528,1822210.744663,55 - DOT - SOUTHERN,BLACK,PASSENGER CAR
4561021986,01/10/2023,839,,0000,CA,202312,,BUIC,PA,WT,801 BARTLETT ST,,56,80.56E4+,RED ZONE,93,6487627.161946,1845235.362752,56 - DOT - CENTRAL,WHITE,PASSENGER CAR
4560900960,01/10/2023,221,,0000,CA,202303,,CHEV,PA,WT,4830 MASCOT ST,0506A,51,80.56E4+,RED ZONE,93,6457288.970257,1837432.647624,51 - DOT - WESTERN,WHITE,PASSENGER CAR
4560832916,01/10/2023,224,,0000,CA,202203,,TOYT,PA,WT,300 52ND ST E,,55,80.56E4+,RED ZONE,93,6477306.360076,1820951.537474,55 - DOT - SOUTHERN,WHITE,PASSENGER CAR
4560801011,01/10/2023,220,,0000,CA,202303,,CHEV,PA,WT,700 WESTMORELAND AV S,0402B,54,80.56E4+,RED ZONE,93,6474107.308626,1844263.547799,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4560900971,01/10/2023,233,,0000,CA,0,,BMW,PA,BK,4800 PICKFORD ST,0506A,51,80.56E4+,RED ZONE,93,6457715.558462,1837659.33953,51 - DOT - WESTERN,BLACK,PASSENGER CAR
4560617342,01/10/2023,242,,0000,OR,0,,FORD,PA,WT,1800 VINEYARD AVE,,51,80.56E4+,RED ZONE,93,6458905.118763,1837619.273305,51 - DOT - WESTERN,WHITE,PASSENGER CAR
4559974160,01/10/2023,235,,0000,NV,202008,,CHEV,PA,WT,1848 GARFIELD PL,0403A,54,80.56E4+,RED ZONE,93,6467603.940718,1860541.113363,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4560900993,01/10/2023,245,,0000,CA,202210,,HOND,PA,GO,4500 18TH ST W,0506A,51,80.56E4+,RED ZONE,93,6459611.723992,1837383.260091,51 - DOT - WESTERN,GOLD,PASSENGER CAR
4560615430,01/10/2023,246,,0000,CA,202308,,NISS,PA,WT,1325 GRANDE VISTA AVE S,,56,80.56E4+,RED ZONE,93,6498111.136807,1830202.763387,56 - DOT - CENTRAL,WHITE,PASSENGER CAR
4559974156,01/10/2023,233,,0000,CA,202308,,HOND,PA,WT,1848 GARFIELD PL,0403A,54,80.56E4+,RED ZONE,93,6467603.940718,1860541.113363,54 - DOT - HOLLYWOOD,WHITE,PASSENGER CAR
4560615393,01/10/2023,231,,0000,CA,202206,,NISS,PA,BL,1300 DACOTAH ST,,56,80.56E4+,RED ZONE,93,6497588.345396,1830534.316565,56 - DOT - CENTRAL,BLUE,PASSENGER CAR
4560617364,01/10/2023,255,,0000,CA,202308,,CADI,PA,WT,4800 ST ELMO DR,,51,80.56E4+,RED ZONE,93,6458107.147408,1838245.011385,51 - DOT - WESTERN,WHITE,PASSENGER CAR
4559974182,01/10/2023,237,,0000,CA,202208,,HOND,PA,BK,1849 GARFIELD PL,0403A,54,80.56E4+,RED ZONE,93,6467603.940718,1860541.113363,54 - DOT - HOLLYWOOD,BLACK,PASSENGER CAR
4561147640,01/10/2023,1104,,0000,CA,202309,,KIA,PA,GY,4020 HOOVER ST S,,55,80.56E4+,RED ZONE,93,6474619.842942,1826256.093883,55 - DOT - SOUTHERN,GREY,PASSENGER CAR
4560954576,01/10/2023,1106,,0000,CA,202311,,NISS,PA,SL,11904 BELHAVEN ST S,,55,80.56E4+,RED ZONE,93,,,55 - DOT - SOUTHERN,SILVER,PASSENGER CAR
4561070684,01/10/2023,1045,,0000,CA,0,,OTHR,CM,WT,600 BROADWAY  N,,56,80.56E4+,RED ZONE,93,6485318.078745,1839454.000265,56 - DOT - CENTRAL,WHITE,COMMERCIAL
4560468754,01/10/2023,1034,,0000,NY,202301,,LEXS,PA,SL,4253 MONROE ST,,54,80.56E4+,RED ZONE,93,6473690.906158,1853678.398305,54 - DOT - HOLLYWOOD,SILVER,PASSENGER CAR
4561095696,01/10/2023,1035,,0000,CA,202309,,TOYT,PA,GY,450 ST ANDREWS PL S,489R2,54,80.56E4+,RED ZONE,93,6467298.500661,1846625.344627,54 - DOT - HOLLYWOOD,GREY,PASSENGER CAR
4560479265,01/10/2023,1033,,0000,CA,0,,DODG,PA,SL,2210 BEVERLY GLEN BLVD,,51,80.56E4+,RED ZONE,93,,,51 - DOT - WESTERN,SILVER,PASSENGER CAR
4560678135,01/10/2023,1025,,0000,CA,5,,DODG,PU,WT,8218 SEPULVEDA PL,360R1,53,80.56E4+,RED ZONE,93,6420730.371051,1902872.894011,53 - DOT - VALLEY,WHITE,PICK-UP TRUCK
4559849556,01/10/2023,1037,,0000,CA,202310,,MERZ,VN,WT,606 OLIVE ST S,,56,80.56E4+,RED ZONE,93,6484643.690552,1839929.531099,56 - DOT - CENTRAL,WHITE,VAN
4561058434,01/10/2023,1046,,0000,CA,202307,,TOYT,PA,SL,18427 VINCENNES ST,330R1,53,80.56E4+,RED ZONE,93,6400131.244901,1910492.501203,53 - DOT - VALLEY,SILVER,PASSENGER CAR
